id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa
1400	Aalto Univ	7994	3542	1070	416	6723	5255
1407	Northwestern Polytech Univ	14316	9133	1876	1121	9234	3746
1408	Sichuan Univ	28226	18731	2893	1653	17710	10940
1409	Harbin Inst Technol	25409	16382	3154	1878	17172	6164
1410	Dalian Univ Technol	16608	10683	1920	1121	11159	3812
1411	Tianjin Univ	21345	13375	2585	1448	14940	5227
1412	Sun Yat-sen Univ	32100	17177	3815	1794	24729	15468
1413	Xiamen Univ	14370	8150	1777	887	11047	5051
1414	Beijing Normal Univ	12419	6221	1460	676	10355	5069
1415	China Agr Univ	10980	6417	1324	732	8503	4918
1416	Tongji Univ	21290	11690	2558	1261	16287	7623
1417	Shanghai Univ	10530	5750	1204	588	8223	2888
1418	E China Univ Sci & Technol	9648	6453	1016	587	6317	1995
1419	Xi'an Jiaotong Univ	28160	17265	3267	1760	19650	8997
1431	Univ Pretoria	6705	3204	699	226	5376	4591
1432	Stellenbosch Univ	6748	3036	838	252	5478	3606
1433	Univ Wollongong	8583	3711	1281	491	7338	4751
1434	Univ Tasmania	7165	3011	1046	340	6117	3783
1435	Queensland Univ Technol	9570	4018	1351	474	8217	6283
1436	La Trobe Univ	7048	2597	999	293	6190	3491
1437	Macquarie Univ	9253	3695	1345	445	7902	4554
1438	Univ Sherbrooke	4523	2146	569	201	3661	2241
1439	Concordia Univ	4462	2282	539	236	3337	1566
1440	York Univ	5423	2395	649	228	4261	2664
1441	Mem Univ Newfoundland	4654	2379	589	249	3431	1955
1442	Yokohama City Univ	3385	1224	352	70	2954	1888
1443	Nihon Univ	4069	1986	266	75	3113	2020
1444	Juntendo Univ	3449	1436	294	87	2884	1974
1451	Massey Univ	4423	2110	440	165	3570	1837
1452	Univ Malaya	11737	6030	1376	570	9434	4824
1458	Pontificia Univ Católica Chile	6999	2501	797	192	6243	4174
1459	Univ Fed São Paulo	7343	3081	618	165	6260	3703
1460	Univ Fed Santa Catarina	6245	3213	545	237	5000	2109
1461	Univ Estadual Paulista	14303	7043	1009	410	11900	9464
1462	Univ Cent Florida	6482	3209	848	366	5095	2715
1463	Drexel Univ	6189	2645	880	300	5133	3365
1464	Univ Albany - SUNY	4220	1640	542	157	3501	2321
1465	Georgia State Univ	4982	2171	585	214	4172	2754
1466	Utah State Univ	4100	1961	528	214	3265	2180
1467	San Diego State Univ	4035	1566	526	162	3512	2318
1468	Univ Toledo	2879	1409	379	164	2215	1435
1469	Rush Univ	5163	2183	842	266	4213	2765
1470	Univ Mississippi	5750	2232	742	209	4800	3436
1471	Univ Wisconsin - Milwaukee	3532	1610	419	142	2837	1689
